update,total_steps,FPS,mean_reward,median_reward,min_reward,max_reward
1,80,51,nan,nan,nan,nan
2,8080,87,-0.8094545454545456,-0.81,-0.96,-0.662
3,16080,90,-0.5855000000000001,-0.673,-0.98,0.003
4,24080,91,-0.5822,-0.7364999999999999,-0.98,0.003
5,32080,91,-0.5545666666666667,-0.601,-0.964,0.001
6,40080,92,-0.5818666666666666,-0.671,-0.986,0.001
7,48080,93,-0.5709333333333333,-0.66,-0.986,0.001
8,56080,94,-0.5478666666666668,-0.6645000000000001,-0.974,0.003
9,64080,94,-0.5592666666666667,-0.731,-0.99,0.003
10,72080,95,-0.6412666666666667,-0.7324999999999999,-0.99,0.001
11,80080,95,-0.6754999999999999,-0.7555000000000001,-0.978,0.002
12,88080,95,-0.6947333333333334,-0.8205,-0.983,0.004
13,96080,95,-0.5432666666666666,-0.712,-0.982,0.002
14,104080,95,-0.5451666666666667,-0.6385000000000001,-0.986,0.002
15,112080,96,-0.6364999999999998,-0.7545,-0.986,0.001
16,120080,94,-0.6189,-0.7175,-0.978,0.004
17,128080,91,-0.5596,-0.641,-0.986,0.003
18,136080,88,-0.5756333333333333,-0.635,-0.986,0.003
19,144080,86,-0.5311,-0.696,-0.979,0.003
20,152080,85,-0.5862,-0.7355,-0.979,0.003
21,160080,83,-0.5439,-0.734,-0.974,0.002
22,168080,81,-0.6222333333333333,-0.758,-0.982,0.001
23,176080,80,-0.5862666666666667,-0.6445000000000001,-0.906,0.002
24,184080,79,-0.5451,-0.6495,-0.938,0.002
25,192080,78,-0.6517666666666667,-0.7355,-0.992,0.001
26,200080,77,-0.6762333333333334,-0.746,-0.992,0.002
27,208080,76,-0.6667333333333333,-0.694,-0.994,0.003
28,216080,76,-0.6734999999999999,-0.8,-0.991,0.002
29,224080,75,-0.6515,-0.7104999999999999,-0.991,0.001
30,232080,75,-0.6506333333333334,-0.6915,-0.958,0.0
31,240080,74,-0.5727999999999999,-0.621,-0.99,0.002
32,248080,73,-0.5984999999999999,-0.729,-0.991,0.002
33,256080,73,-0.5805666666666666,-0.757,-0.991,0.002
34,264080,72,-0.6274333333333332,-0.789,-0.986,0.001
35,272080,72,-0.6978000000000001,-0.794,-0.964,0.002
36,280080,73,-0.6730333333333334,-0.8055,-0.974,0.002
37,288080,73,-0.5428000000000001,-0.764,-0.974,0.002
38,296080,74,-0.48433333333333334,-0.617,-0.917,0.003
39,304080,75,-0.5971666666666667,-0.6745000000000001,-0.971,0.002
40,312080,75,-0.6036,-0.731,-0.986,0.003
41,320080,76,-0.6485333333333334,-0.804,-0.995,0.003
42,328080,76,-0.6651,-0.7585,-0.984,0.002
43,336080,77,-0.5642,-0.71,-0.982,0.003
44,344080,77,-0.4818333333333333,-0.605,-0.909,0.003
45,352080,78,-0.5832333333333334,-0.677,-0.97,0.001
46,360080,78,-0.6076666666666667,-0.7315,-0.992,0.002
47,368080,79,-0.6627333333333334,-0.82,-0.974,0.001
48,376080,79,-0.6394,-0.7284999999999999,-0.974,0.001
49,384080,80,-0.5121333333333334,-0.693,-0.977,0.001
50,392080,80,-0.5141333333333333,-0.6225,-0.986,0.002
51,400080,80,-0.6194333333333334,-0.688,-0.986,0.002
52,408080,81,-0.6742666666666667,-0.7865,-0.992,0.002
53,416080,81,-0.6596333333333333,-0.8029999999999999,-0.988,0.003
54,424080,82,-0.5351999999999999,-0.7055,-0.988,0.003
55,432080,82,-0.5877333333333333,-0.7585,-0.984,0.001
56,440080,82,-0.6418333333333334,-0.774,-0.988,0.001
57,448080,83,-0.5659333333333334,-0.6355,-0.988,0.002
58,456080,83,-0.49533333333333346,-0.6205,-0.976,0.002
59,464080,83,-0.5773333333333334,-0.6910000000000001,-0.99,0.001
60,472080,84,-0.6513666666666666,-0.745,-0.992,0.003
61,480080,84,-0.6018,-0.709,-0.991,0.003
62,488080,84,-0.5823333333333334,-0.7015,-0.991,0.003
63,496080,84,-0.6025333333333333,-0.8140000000000001,-0.978,0.003
64,504080,85,-0.5798333333333333,-0.7475,-0.98,0.001
65,512080,85,-0.5897000000000001,-0.7024999999999999,-0.98,0.002
66,520080,85,-0.6066,-0.772,-0.944,0.003
67,528080,86,-0.6892333333333333,-0.784,-0.948,0.0
68,536080,86,-0.5582666666666666,-0.64,-0.984,0.002
69,544080,86,-0.5393333333333333,-0.6595,-0.984,0.003
70,552080,86,-0.6193333333333334,-0.787,-0.977,0.002
71,560080,87,-0.5659,-0.65,-0.977,0.002
72,568080,87,-0.5004000000000001,-0.52,-0.954,0.003
73,576080,87,-0.5815666666666667,-0.6865,-0.982,0.001
74,584080,87,-0.6116333333333334,-0.73,-0.978,0.002
75,592080,87,-0.5576666666666666,-0.6910000000000001,-0.982,0.002
